,postal_code,name,lat,lon
9944,27260,Saint-Pierre-de-Cormeilles,49.2403,0.3652
9945,27800,Saint-Pierre-de-Salerne,49.2077,0.6528
9946,27370,Saint-Pierre-des-Fleurs,49.2499,0.9629
9947,27450,Saint-Pierre-des-Ifs,49.2648,0.6096
9948,27370,Saint-Pierre-du-Bosguérard,49.26,0.8914
9949,27210,Saint-Pierre-du-Val,49.3941,0.3657
9950,27430,Saint-Pierre-du-Vauvray,49.2257,1.2141
9951,27600,Saint-Pierre-la-Garenne,49.1492,1.3909
9952,27680,Saint-Samson-de-la-Roque,49.4227,0.4239
9953,27180,Saint-Sébastien-de-Morsent,49.0144,1.0743
9954,27560,Saint-Siméon,49.2833,0.5201
9955,27210,Saint-Sulpice-de-Grimbouville,49.3756,0.4473
9956,27260,Saint-Sylvestre-de-Cormeilles,49.2484,0.4223
9957,27500,Saint-Symphorien,49.3096,0.4567
9958,27300,Saint-Victor-de-Chrétienville,49.0632,0.5154
9959,27800,Saint-Victor-d'Épine,49.2122,0.6011
9960,27130,Saint-Victor-sur-Avre,48.698,0.8521
9961,27930,Saint-Vigor,49.0762,1.2576
9962,27950,Saint-Vincent-des-Bois,49.0605,1.3955
9963,27230,Saint-Vincent-du-Boulay,49.1016,0.4847
9964,27150,Sancourt,49.3532,1.6748
9965,27930,Sassey,49.0487,1.2204
9966,27370,La Saussaye,49.2566,0.9893
9967,27150,Saussay-la-Campagne,49.3198,1.5066
9968,27190,Sébécourt,48.9758,0.8295
9969,27500,Selles,49.3003,0.4855
9970,27220,Serez,48.9365,1.3575
9971,27470,Serquigny,49.1123,0.7057
9972,27400,Surtauville,49.1982,1.0511
9973,27400,Surville,49.2008,1.1025
9974,27420,Suzay,49.2693,1.5146
9975,27230,Le Theil-Nolent,49.151,0.5354
9976,27230,Thiberville,49.133,0.4402
9977,27800,Thibouville,49.1374,0.8017
9978,27290,Thierville,49.2626,0.7172
9979,27150,Le Thil,49.3073,1.5534
9980,27420,Les Thilliers-en-Vexin,49.2366,1.6033
9981,27700,Le Thuit,49.2615,1.3683
